,Артикул,Назва,Вага,Ціна
71,1609,"ДОБРИВО ДЛЯ ТРОЯНД ТА КВІТУЧИХ РОСЛИН, Yara Folicare",0.18,169.0
72,1611,YARAIRIX,,24000.0
73,1612,YARAVITA  BIOMARIS,,7010.0
74,1614,YARAVITA БІОТРАК,,5990.0
75,1617,ДОБРИВО ДЛЯ ГАЗОНУ ВЕСНА-ЛІТО,18.0,3900.0
76,1618,ДОБРИВО ДЛЯ ГАЗОНУ ОСІНЬ,10.0,3900.0
77,1621,"ДОБРИВО НА ОСНОВІ ВИТЯЖКИ МОРСЬКИХ ВОДОРОСТЕЙ YaraVITA, 0,5 л",,55.0
78,1624,"ДОБРИВО НА ОСНОВІ ВИТЯЖКИ МОРСЬКИХ ВОДОРОСТЕЙ YaraVITA, 0,5 л",,339.0
79,1625,БІОСТИМУЛЯТОР РОСТУ. ТРОЯНДИ 20 мл,,60.0
80,1626,ВІДНОВЛЕННЯ ТА АКТИВІЗАЦІЯ РОСТУ ОВОЧЕВИХ ТА ФРУКТОВИХ РОСЛИН 20 мл,,60.0
81,1627,БІОСТИМУЛЯТОР РОСТУ ДЛЯ ЛОХИНИ ТА ЯГІДНИХ КУЩІВ 20 мл,,60.0
82,1628,ГАЗОН. ЗАХИСТ ВІД ПОЖОВТІННЯ 20 мл,,90.0
83,1629,"РЯСНЕ ЦВІТІННЯ ТА ПЛОДОНОШЕННЯ. ОВОЧІ, ФРУКТИ ТА ЯГОДИ 25 мл",,80.0
84,1630,РЯСНЕ ЦВІТІННЯ. ГОРТЕНЗІЯ ТА МАГНОЛІЯ 20 мл,,60.0
85,1631,СИЛЬНИЙ КОРІНЬ. СТАРТ. ОВОЧІ ТА ЗЕЛЕНЬ 25 мл,,80.0
86,1632,УРОЖАЙНА КАРТОПЛЯ ТА КОРЕНЕПЛОДИ 25 мл,,80.0
87,1633,ЯСКРАВА ХВОЯ. ЗАХИСТ ТА РОЗВИТОК 20 мл,,90.0
88,1634,Монокалій фосфат 0-52-34 Nova Peak,,3880.0
89,1509,YARA LIVA КАЛЬЦИНІТ,,1380.0
90,1510,YARA LIVA НІТРАБОР,,1390.0
91,1511,YARAMILA COMPLEX 12-11-18,,1900.0
92,1512,YARAMILA CROPCARE 11-11-21,,1900.0
93,1513,YARATERA REXOLIN ABC (КОМПЛЕКС МІКРОЕЛЕМЕНТІВ),,3350.0
94,1514,YARATERA REXOLIN D12 (ХЕЛАТ ЗАЛІЗА),,3150.0
95,1515,СУЛЬФАТ МАГНІЮ ЯРА KRISTA MGS,,1015.0
96,1516,ДОБРИВО ДЛЯ ФРУКТОВИХ ТА ГОРІХОВИХ ДЕРЕВ,3.0,799.0
97,1517,ДОБРИВО ДЛЯ ЯГІДНИХ ЧАГАРНИКІВ,3.0,799.0
98,1518,ДОБРИВО ДЛЯ ЯГІДНИХ ЧАГАРНИКІВ,1.0,348.0
99,1519,ДОБРИВО УНІВЕРСАЛЬНЕ ГРУНТОВЕ,1.0,348.0
100,1520,ДОБРИВО УНІВЕРСАЛЬНЕ ГРУНТОВЕ,3.0,799.0
101,1521,ДОБРИВО УНІВЕРСАЛЬНЕ ГРУНТОВЕ,10.0,2299.0
102,1522,ДОБРИВО ДЛЯ ДЕКОРАТИВНИХ ЛИСТОВИХ ОСІНЬ,3.0,799.0
103,1524,ДОБРИВО УНІВЕРСАЛЬНЕ ГРУНТОВЕ ОСІНЬ,3.0,799.0
104,1526,ДОБРИВО ДЛЯ ГАЗОНУ ОСІНЬ,3.0,799.0
105,1527,ДОБРИВО ДЛЯ ВІЧНОЗЕЛЕНИХ ДЕРЕВ ТА КУЩІВ ОСІНЬ,1.0,348.0
106,1529,ДОБРИВО ДЛЯ ДЕКОРАТИВНИХ ЛИСТОВИХ ОСІНЬ,1.0,348.0
107,1530,ДОБРИВО УНІВЕРСАЛЬНЕ ГРУНТОВЕ ОСІНЬ,10.0,2299.0
108,1531,ДОБРИВО ДЛЯ ГАЗОНУ ВЕСНА-ЛІТО,3.0,799.0
109,1532,ДОБРИВО ДЛЯ ПОЛУНИЦІ,1.0,348.0
110,1533,ДОБРИВО ДЛЯ ВІЧНОЗЕЛЕНИХ ДЕРЕВ ТА КУЩІВ ВЕСНА-ЛІТО,3.0,799.0
111,1535,ДОБРИВО ДЛЯ ФРУКТОВИХ ТА ГОРІХОВИХ ДЕРЕВ,1.0,348.0
