"Ціна, грн",Кімнати,Площа,Район,Адреса,Координати,Відстань,Рейтинг
20000,1,48,Шевченківський,"вул. Златоустівська, 47-49","(50.45279998353348, 30.486220023821204)",1132,3
8500,1,43,Святошинський,"вул. Олевська, 3б","(50.47956000570187, 30.342080039131503)",1740,1
25000,2,50,Солом'янський,"вул. Липківського, 16а","(50.43523998019995, 30.48671002988084)",733,2
10000,3,65,Голосіївський,"просп. Голосіївський, 124","(50.3839400086477, 30.48241002973282)",436,3
6500,2,52,Оболонський,"просп. Героїв Сталінграда, 11б","(50.500270012067745, 30.51140001533153)",903,2
6500,1,32,Святошинський,"вул. Єфремова, 7а","(50.46331001001565, 30.350950020528842)",495,1
6500,2,44,Деснянський,"вул. Шолом-Алейхема, 5","(50.47153999119604, 30.627719960467772)",1305,1
18500,2,76,Солом'янський,"вул. Кадетський Гай, 6","(50.41315999366955, 30.466639981822397)",2845,2
12000,1,40,Шевченківський,"вул. Олександрівська, 1","(50.45945128056754, 30.40138673723285)",273,3
10000,1,42,Дарницький,"вул. Софії Русової, 3","(50.38885000179934, 30.625909972296057)",1052,2
9000,1,37,Святошинський,"вул. Жмеринська, 36","(50.440669986624584, 30.382530014208754)",2020,1
9500,1,33,Голосіївський,"вул. В. Китаївська, 108","(50.36860593394864, 30.540388521882573)",3873,3
12000,2,70,Дарницький,"вул. Пчілки, 2","(50.41565000000003, 30.62644000000006)",1963,2
5000,1,37,Шевченківський,"вул. Турчина, 15","(50.48084998060057, 30.3974700022477)",2367,3
11900,1,32,Печерський,"вул. Велика Васильківська, 131","(50.41604001560063, 30.524060041887708)",327,3
15000,2,48,Дніпровський,"вул. Воскресенська, 18а","(50.469567892472924, 30.601331743064463)",1704,1
5500,1,31,Святошинський,"вул. Доброхотова, 7","(50.462089982098945, 30.366649995728693)",707,1
12000,2,48,Солом'янський,"просп. Повітрофлотський, 36","(50.427940013086385, 30.464090039238386)",2316,2
7500,1,36,Деснянський,"просп. Лісовий, 19","(50.48207000851727, 30.629630028563383)",2263,1
11000,1,43,Подільський,"вул. Тираспольська, 58","(50.482645836127695, 30.43115865769585)",658,2
18214,3,80,Печерський,"вул. Драгомирова, 2","(50.41381001026082, 30.545990034260768)",470,3
10000,1,43,Дарницький,"вул. Урлівська, 23","(50.41115001328808, 30.613940027828306)",1734,2
40565,1,65,Печерський,"вул. Саперне Поле, 3","(50.4193700200037, 30.53068995966143)",709,3
22000,3,88,Шевченківський,"Бехтеревський пров., 14","(50.458190008279956, 30.49644996900878)",1185,3
24000,2,85,Голосіївський,"вул. Ломоносова, 60/5","(50.383319999269816, 30.459240018603964)",1038,3
8500,1,42,Святошинський,"вул. Підлісна, 5/21","(50.472894681489905, 30.338534700940095)",1408,1
9000,1,45,Дарницький,"вул. Урлівська, 11/44","(50.407560002248516, 30.619530002875024)",1361,2
6990,2,60,Солом'янський,"вул. Єреванська, 29","(50.43823998907499, 30.464320038661498)",1402,2
20000,3,80,Печерський,"вул. Московська, 37/2","(50.43457001467914, 30.545530035414515)",912,3
7000,1,22,Солом'янський,"вул. Смілянська, 19","(50.4248100008931, 30.44335002565913)",3327,2
8000,1,36,Дніпровський,"вул. Андрія Малишка, 27","(50.46193001347683, 30.62377996306111)",520,1
28396,3,75,Голосіївський,"просп. Лобановського, 144","(50.4075863157373, 30.507084758103943)",809,3
31000,3,110,Оболонський,"вул. Кондратюка, 5","(50.52610999463411, 30.459860027981847)",2756,2
9500,1,36,Оболонський,"вул. Богатирська, 6а","(50.5193600060974, 30.48464003507263)",1058,2
24000,1,60,Шевченківський,"вул. Хмельницького, 32","(50.44670998605281, 30.510770031488846)",275,3
18000,1,25,Печерський,"вул. Басейна, 5а","(50.44137000126827, 30.522899986488227)",375,3
48678,2,60,Печерський,"вул. Маккейна, 7","(50.41573001091169, 30.530719966874784)",468,3
32452,2,50,Печерський,"вул. Саперне Поле, 12","(50.417543818957434, 30.531716183902617)",656,3
14000,2,60,Дарницький,"вул. Бориса Гмирі, 9б","(50.3928700044718, 30.630520019042535)",677,2
2500,1,85,Дніпровський,"вул. Космічна, 1/10","(50.46643000583464, 30.619939961759343)",1036,1
12000,1,51,Оболонський,"просп. Героїв Сталінграда, 64/56","(50.52786001028858, 30.516929975951513)",1418,2
7500,1,27,Деснянський,"вул. Братиславська, 4","(50.463499985851115, 30.629170029717102)",406,1
4500,1,32,Шевченківський,"вул. Щербаківського, 49","(50.47391999069319, 30.405189986529393)",1678,3
7500,1,34,Подільський,"вул. Новомостицька, 2б","(50.5003099937459, 30.437979991751718)",2677,2
11900,2,45,Голосіївський,"Коломийський пров., 10","(50.390520012188006, 30.49358000536151)",400,3
5500,1,55,Дніпровський,"вул. Райдужна, 17","(50.48573000844834, 30.585290012222373)",3832,1
9000,2,56,Дарницький,"вул. Ревуцького, 44","(50.39700001962342, 30.651809969289133)",473,2
8000,2,46,Святошинський,"вул. Зодчих, 6","(50.41512999237287, 30.385039975114637)",4745,1
36509,1,45,Печерський,"вул. Предславинська, 57","(50.416921573182414, 30.52582910236504)",411,3
10000,2,45,Подільський,"вул. Стеценка, 4а","(50.481879990772285, 30.408100015673824)",1668,2
13000,1,38,Дарницький,"вул. Вишняківська, 4","(50.393680508689265, 30.652287384334926)",835,2
25000,3,130,Дніпровський,"вул. Окіпної, 4","(50.44997000156434, 30.593760009200196)",293,1
9000,1,30,Солом'янський,"вул. Преображенська, 39/8","(50.4200500018988, 30.480269962214066)",2482,2
9000,1,25,Святошинський,"вул. Доброхотова, 7","(50.462089982098945, 30.366649995728693)",707,1
15000,2,45,Печерський,"Бастіонний пров., 11","(50.417997847621336, 30.555802344047258)",836,3
17000,2,63,Печерський,"вул. Руставелі, 32","(50.437339982221516, 30.518009984175677)",227,3
14000,2,60,Оболонський,"вул. Калнишевського, 14","(50.52379998402847, 30.46708003173913)",2224,2
7800,1,35,Солом'янський,"вул. Уманська, 33а","(50.439200010355194, 30.460750018461027)",1352,2
8500,1,30,Дарницький,"Харківське ш., 176б","(50.410679998067536, 30.66466001359032)",778,2
13500,2,45,Шевченківський,"вул. Віктора Ярмоли, 38","(50.454389988656345, 30.46781001168668)",412,3
14000,3,53,Голосіївський,"просп. Голосіївський, 120","(50.384318283588726, 30.484711593677865)",595,3
6200,1,34,Оболонський,"просп. Оболонський, 31","(50.516960015761185, 30.497469962806207)",615,2
7500,1,38,Печерський,"бульв. Українки, 7","(50.43467001078403, 30.531260012896382)",269,3
25000,4,72,Голосіївський,"вул. Володимиро-Либідська, 16","(50.42308999245199, 30.51829002356078)",338,3
7500,2,44,Шевченківський,"вул. Краснодарська, 43/8","(50.4679400056917, 30.41542001553597)",1078,3
9500,1,39,Солом'янський,"просп. Лобановського, 96","(50.41118002050146, 30.484880008960545)",2189,2
13000,2,60,Дарницький,"вул. Княжий Затон, 7","(50.40198000166657, 30.625830008939772)",671,2
14000,1,40,Солом'янський,"вул. Журавлина, 4","(50.3617899913163, 30.612389962474055)",3641,2
9000,3,58,Шевченківський,"вул. Дегтярівська, 26а","(50.462930016435195, 30.471280035782257)",702,3
18000,2,37,Печерський,"вул. Цитадельна, 6/8","(50.43265356318338, 30.547243107841837)",826,3
5000,1,35,Дніпровський,"вул. Червоноткацька, 24","(50.45346999096381, 30.62685000273717)",761,1
12500,1,50,Дарницький,"вул. Драгоманова, 2б","(50.417720000454096, 30.632460010532498)",2126,2
13000,1,31,Солом'янський,"вул. Виборзька, 87","(50.4517521406685, 30.414269077925272)",821,2
5500,1,32,Святошинський,"вул. Жмеринська, 16","(50.43666000032641, 30.37340002617492)",2214,1
14000,2,38,Печерський,"Кловський узвіз, 20","(50.436599985899676, 30.540659982031514)",657,3
10000,2,50,Дарницький,"вул. Світла, 3","(50.396729996612635, 30.694509982454832)",1067,2
15000,3,82,Дарницький,"вул. Декабристів, 12/37","(50.4035099923627, 30.65232998256215)",264,2
15000,1,58,Голосіївський,"вул. Голосіївська, 13а","(50.39899000916583, 30.519500035103164)",657,3
12000,1,51,Дарницький,"вул. Драгоманова, 2","(50.41803000514304, 30.634300005917567)",2159,2
17500,2,67,Дніпровський,"просп. Соборності, 30а","(50.43966998366625, 30.609689983823188)",1562,1
10000,2,55,Дарницький,"вул. Лариси Руденко, 17","(50.39574001002859, 30.643380037808498)",760,2
4700,2,54,Деснянський,"вул. Братиславська, 40","(50.47659000404019, 30.620540022207678)",1981,1
5000,1,46,Дніпровський,"просп. Романа Шухевича, 26","(50.49449001927604, 30.598359997662897)",4374,1
29000,3,80,Голосіївський,"вул. Велика Васильківська, 112","(50.42339999714093, 30.518660000766943)",355,3
11000,2,52,Дарницький,"вул. Ревуцького, 13","(50.41791001819908, 30.64395000722442)",1969,2
10000,1,45,Дарницький,"вул. Драгоманова, 15а","(50.40997000895905, 30.641079959758116)",1295,2
12000,2,47,Шевченківський,"вул. Щербаківського, 63","(50.48044999618105, 30.405380004274377)",1808,3
9500,1,36,Святошинський,"вул. Чистяківська, 11б","(50.4538299937052, 30.398350018262107)",634,1
9500,2,61,Дарницький,"вул. Бориспільська, 6","(50.428830003565565, 30.664439988631955)",2791,2
4400,1,30,Дарницький,"вул. Привокзальна, 10/1","(50.428090007243725, 30.641510035210047)",3103,2
13000,1,53,Дарницький,"просп. Григоренка, 28в","(50.40406998731385, 30.628559994803993)",707,2
10000,1,34,Подільський,"вул. Юрківська, 18","(50.4713899970387, 30.505989999745964)",305,2
10000,2,60,Солом'янський,"вул. Радченка, 4","(50.416069980904496, 30.474830023234176)",2882,2
36509,3,100,Печерський,"вул. Інститутська, 16","(50.446470012164895, 30.532170036124143)",284,3
13500,2,48,Солом'янський,"вул. Гонгадзе, 41","(50.45000961197567, 30.420103035263796)",949,2
6000,2,50,Дніпровський,"вул. Миколайчука, 15","(50.434139981136724, 30.60587001527003)",2001,1
13000,1,25,Солом'янський,"вул. Липківського, 33а","(50.43242332157823, 30.477268295680375)",1308,2
9000,2,55,Шевченківський,"вул. Білоруська, 7","(50.46327841046908, 30.47722086646788)",293,3
38000,3,75,Печерський,"Крутий узвіз, 6/2","(50.44227000812174, 30.523879998607498)",484,3
13000,2,72,Дарницький,"просп. Григоренка, 1б","(50.415190006799605, 30.628659990908886)",1877,2
27000,2,50,Дарницький,"вул. Зарічна, 1б","(50.39594000223835, 30.599719961453104)",379,2
8000,2,46,Дніпровський,"вул. Червоноткацька, 29","(50.4534000020723, 30.62436996522564)",836,1
8500,3,75,Дарницький,"вул. Ахматової, 4","(50.41289001256828, 30.64243003290261)",1505,2
6000,1,32,Шевченківський,"вул. Олени Теліги, 35","(50.47895998716305, 30.451330016577316)",661,3
12000,1,32,Шевченківський,"вул. Миколи Мурашка, 6","(50.468790014492726, 30.479079983420235)",720,3
9500,1,36,Дарницький,"вул. Софії Русової, 3в","(50.38901650780384, 30.625353055034275)",1011,2
8000,2,60,Солом'янський,"Машинобудівний пров., 25","(50.44756016294967, 30.440204579197186)",871,2
24500,1,47,Шевченківський,"вул. Шолуденка, 1а","(50.45189000221524, 30.477079977503536)",751,3
8000,1,45,Святошинський,"просп. Перемоги, 131а","(50.45491145920346, 30.351774203014973)",941,1
30000,3,110,Дарницький,"вул. Княжий Затон, 2/30","(50.403860020639314, 30.630109976339213)",635,2
7000,1,30,Деснянський,"просп. Лісовий, 25а","(50.48327000368539, 30.6316000272667)",2323,1
12000,2,44,Шевченківський,"вул. Олени Теліги, 21","(50.47460001449781, 30.447529996953676)",174,3
20283,2,55,Дарницький,"вул. Зарічна, 3а","(50.39524077659407, 30.602596543582234)",170,2
18000,3,75,Святошинський,"вул. Михайла Котельникова, 11","(50.452169999690796, 30.3843899585234)",825,1
17000,3,95,Святошинський,"просп. Перемоги, 121а","(50.45448998476121, 30.36081996297503)",329,1
11000,2,45,Дніпровський,"вул. Запорожця, 26а","(50.47962002012861, 30.60419003041656)",2669,1
9000,2,44,Солом'янський,"просп. Відрадний, 40","(50.41709999107621, 30.423690020304036)",4455,2
12000,2,50,Дніпровський,"Харківське ш., 17а","(50.433559995346485, 30.634660008658955)",2948,1
6000,1,30,Дарницький,"вул. Декабристів, 5б","(50.405399985800216, 30.658109975353852)",591,2
18500,2,40,Голосіївський,"вул. Теремківська, 4а","(50.370538762074005, 30.453572976112962)",354,3
15000,4,90,Голосіївський,"вул. Заболотного, 62","(50.36383999528542, 30.46170999783172)",621,3
5500,1,32,Шевченківський,"вул. Парково-Сирецька, 5б","(50.46741001795391, 30.44365001397378)",743,3
22000,2,82,Голосіївський,"вул. Ломоносова, 81б","(50.38515002019011, 30.466130026833213)",900,3
12000,2,65,Дарницький,"вул. Софії Русової, 3","(50.38885000179934, 30.625909972296057)",1052,2
24000,1,45,Шевченківський,"вул. Рейтарська, 31/16","(50.45305755197779, 30.509105785172515)",672,3
7000,2,45,Шевченківський,"вул. Турчина, 17","(50.48084998060057, 30.396880000083172)",2408,3
9000,3,72,Подільський,"просп. Свободи, 2","(50.50641998206564, 30.438309987279723)",3349,2
38537,3,70,Голосіївський,"вул. Антоновича, 19/21","(50.436770012805596, 30.51399002341273)",363,3
10000,1,22,Дніпровський,"просп. Соборності, 17","(50.4370056237951, 30.60864564148239)",1780,1
12000,2,47,Дарницький,"вул. Чавдар, 3","(50.39348000000007, 30.62098000000003)",453,2
17000,1,47,Шевченківський,"вул. Жилянська, 118","(50.44184001648884, 30.497009963959925)",602,3
10000,1,51,Дарницький,"вул. Завальна, 10г","(50.39228722156986, 30.61425530724394)",378,2
8000,1,30,Солом'янський,"вул. Волгоградська, 2","(50.42917001546789, 30.494249970882322)",1455,2
14000,2,72,Оболонський,"вул. Героїв Дніпра, 24","(50.522119999175004, 30.495619992956335)",222,2
20000,1,50,Дарницький,"вул. Осокорська, 2а","(50.39758921398898, 30.602558335691178)",404,2
9000,2,40,Дніпровський,"вул. Тампере, 17/2","(50.4455799797762, 30.611280030855568)",1176,1
7000,1,42,Святошинський,"вул. Чорнобильська, 6","(50.457949992482526, 30.3474199820065)",1124,1
7000,3,76,Святошинський,"вул. Синьоозерна, 2б","(50.501090013655414, 30.363609963265986)",3881,1
8000,1,32,Дніпровський,"вул. Празька, 3","(50.441580009852345, 30.630230005192686)",2028,1
10200,1,36,Голосіївський,"вул. Велика Васильківська, 124а","(50.41811001040884, 30.521029983889804)",270,3
9000,2,43,Голосіївський,"Коломийський пров., 9","(50.39029001276489, 30.492499997137344)",338,3
10000,2,55,Святошинський,"вул. Олевська, 9","(50.479230010173865, 30.344150033939712)",1631,1
6999,1,43,Дарницький,"вул. Крушельницької, 1/5","(50.463510002225405, 30.331009975788646)",1786,2
6000,2,52,Оболонський,"вул. Мукачівська, 8","(50.50362998177465, 30.45538995901839)",3087,2
11000,1,48,Оболонський,"вул. Макіївська, 10а","(50.5092300151052, 30.455400017302196)",3036,2
48678,4,180,Печерський,"вул. Ділова, 2б","(50.42998506030447, 30.520623327589163)",377,3
15000,3,100,Оболонський,"просп. Героїв Сталінграда, 18а","(50.509708840395845, 30.507082417091475)",668,2
4500,1,33,Деснянський,"вул. Волкова, 14","(50.49415000737372, 30.43672999853115)",1989,1
9000,3,98,Дарницький,"вул. Вишняківська, 7б","(50.39323000721319, 30.647469987462955)",968,2
20000,2,92,Шевченківський,"вул. Білоруська, 3","(50.46272000785112, 30.478399959615615)",197,3
40000,3,120,Голосіївський,"просп. Голосіївський, 30а","(50.405549979957556, 30.51579003711967)",154,3
21000,3,105,Дарницький,"вул. Олександра Мишуги, 12","(50.39566997922756, 30.636509978508826)",384,2
7000,1,45,Дарницький,"вул. Вишняківська, 17","(50.39426999184968, 30.644099959472243)",884,2
14000,2,50,Дніпровський,"вул. Ентузіастів, 9/2","(50.43823001461021, 30.601579989586753)",1483,1
7000,3,61,Святошинський,"просп. Курбаса, 18","(50.42617998105763, 30.370520004243843)",3320,1
34481,2,48,Шевченківський,"вул. Софіївська, 4","(50.45172999168361, 30.52069998836177)",285,3
20000,3,76,Дніпровський,"Русанівська наб., 12/1","(50.4410200149012, 30.59352003531228)",1174,1
8000,1,30,Оболонський,"просп. Рокосовського, 3","(50.52166000032875, 30.457860022065177)",2880,2
28396,2,76,Голосіївський,"вул. Антоновича, 74","(50.426680003491555, 30.51383001288113)",610,3
9500,1,30,Шевченківський,"вул. Зоологічна, 2","(50.45668000842289, 30.46095998513556)",772,3
6000,2,54,Дніпровський,"вул. Миколи Кибальчича, 15а","(50.49328000773363, 30.600899965782133)",4201,1
20283,1,42,Шевченківський,"вул. Гоголівська, 47","(50.45517000856586, 30.493610012574862)",1199,3
10000,1,48,Голосіївський,"просп. Науки, 55а","(50.379519979646204, 30.536220004100443)",2730,3
10000,2,47,Дніпровський,"вул. Двінська, 1а","(50.435374290517366, 30.642765347935974)",2869,1
9000,2,45,Святошинський,"вул. Краснова, 8а","(50.45796998332159, 30.373119986789817)",626,1
9000,2,55,Голосіївський,"вул. Голосіївська, 6","(50.40298997908971, 30.521849985477445)",361,3
7500,2,48,Солом'янський,"вул. Ніжинська, 16","(50.43856001013822, 30.436170003580003)",1909,2
13500,1,29,Голосіївський,"вул. Васильківська, 100а","(50.3831073980471, 30.478189374118696)",175,3
11500,1,50,Печерський,"бульв. Дружби Народів, 14-16","(50.413489989197586, 30.53760000063926)",666,3
8000,1,27,Солом'янський,"вул. Добробутна, 1","(50.384590004284206, 30.440969984252447)",2150,2
6000,1,26,Подільський,"вул. Бакинська, 37в","(50.483690020853516, 30.454050027976763)",1221,2
8000,1,36,Оболонський,"вул. Тимошенка, 4","(50.50995002058798, 30.492499997137344)",427,2
11000,1,38,Дарницький,"вул. Княжий Затон, 17б","(50.400400012918, 30.62065996724212)",647,2
7500,1,42,Дарницький,"53-а Садова вул., 52","(50.389329991484686, 30.434109983236567)",2850,2
6000,2,45,Деснянський,"вул. Мілютенка, 28а","(50.47613000519394, 30.63285002048727)",1576,1
5500,1,32,Дніпровський,"бульв. Верховної Ради, 3","(50.44701001627698, 30.611919989163027)",1048,1
12000,1,34,Печерський,"вул. Гусовського, 2","(50.43590001316551, 30.541070024734864)",697,3
14000,2,68,Оболонський,"вул. Калнишевського, 6","(50.5238048173899, 30.4664007695105)",2273,2
8500,2,56,Дніпровський,"вул. Алма-Атинська, 39в","(50.4437800079788, 30.66201996554716)",2576,1
25000,3,112,Шевченківський,"вул. Гончара, 43в","(50.45745771718302, 30.513626712616247)",818,3
6500,1,24,Святошинський,"вул. Литвиненко-Вольгемут, 5б","(50.41923000031116, 30.376599985350197)",4153,1
6000,2,55,Дарницький,"Харківське ш., 55а","(50.42088001986076, 30.654900041713802)",2072,2
8300,1,43,Дарницький,"Харківське ш., 58","(50.42307000161293, 30.64638997923879)",2480,2
10500,2,48,Дніпровський,"вул. Березняківська, 38","(50.422230009186194, 30.595490034015626)",3003,1
11000,1,25,Солом'янський,"вул. Березова, 43","(50.39831748492844, 30.463502639376376)",1908,2
4700,1,38,Дніпровський,"вул. Андрія Малишка, 31","(50.46260002090716, 30.626060008362884)",427,1
12000,1,45,Дарницький,"вул. Ревуцького, 40в","(50.40396620831599, 30.650529710858052)",357,2
12000,2,84,Святошинський,"просп. Палладіна, 22","(50.46144998188197, 30.3572099610964)",578,1
10500,2,45,Шевченківський,"вул. Борщагівська, 14а","(50.44847999254637, 30.469299978795135)",315,3
12000,2,70,Дарницький,"вул. Драгоманова, 8","(50.41433999799861, 30.635710009669737)",1754,2
12000,1,49,Голосіївський,"Ясинуватський пров., 10","(50.409950018119986, 30.506630041872455)",969,3
20000,3,70,Подільський,"вул. Юрківська, 36","(50.47372286264367, 30.50859495268087)",313,2
9000,1,42,Оболонський,"вул. Калнишевського, 7","(50.521840001699445, 30.462629995524253)",2542,2
8000,2,46,Печерський,"вул. Коновальця, 33","(50.42810999808279, 30.53251000611695)",438,3
11000,2,50,Шевченківський,"вул. Студентська, 12/14","(50.458704002208236, 30.489068622134468)",699,3
9000,1,31,Святошинський,"вул. Чистяківська, 11","(50.45456999002704, 30.396930040045135)",504,1
8000,2,50,Оболонський,"вул. Тимошенка, 6а","(50.51041001943426, 30.4946999952638)",264,2
7000,1,40,Голосіївський,"вул. Метрологічна, 113","(50.34800902187782, 30.477158325781552)",2676,3
13500,1,46,Дарницький,"Харківське ш., 190","(50.40858911877319, 30.672187193654587)",674,2
15000,2,60,Голосіївський,"вул. Велика Васильківська, 124","(50.41857000925512, 30.521250008848142)",220,3
28000,3,76,Дніпровський,"вул. Каховська, 58","(50.46244001037556, 30.591509971111776)",1307,1
10800,1,48,Оболонський,"вул. Йорданська, 9к","(50.49600001913308, 30.504349996570653)",676,2
13500,2,68,Дарницький,"просп. Григоренка, 28а","(50.40503998305883, 30.62803000706623)",819,2
6000,1,30,Подільський,"вул. Світлицького, 35","(50.50726999086666, 30.42868001872145)",3395,2
10000,1,56,Голосіївський,"вул. Мейтуса, 4а","(50.387539994152036, 30.464000017598266)",1166,3
10500,1,29,Солом'янський,"вул. Польова, 73","(50.43648590050609, 30.446101462510313)",2031,2
18000,1,48,Дарницький,"Дніпровська наб., 16д","(50.40122739971355, 30.615020220719288)",628,2
6500,1,32,Оболонський,"вул. Йорданська, 4","(50.49216001783134, 30.507750031774748)",1165,2
7000,2,52,Подільський,"вул. Копилівська, 31","(50.487850001309, 30.46708003173913)",2081,2
34481,2,60,Печерський,"вул. Лютеранська, 8","(50.44527999146155, 30.522829997596716)",263,3
10500,2,46,Голосіївський,"Задорожний пров., 3/2","(50.394499991272795, 30.504540014315637)",533,3
6000,1,32,Солом'янський,"вул. Златопільська, 3","(50.420659994902394, 30.47644999366088)",2495,2
12500,1,58,Голосіївський,"вул. Голосіївська, 13","(50.40076001565939, 30.520599992256905)",494,3
50000,3,82,Печерський,"вул. Болсуновська, 2","(50.421119993748675, 30.55266001753168)",713,3
18255,1,45,Дніпровський,"вул. Регенераторна, 4к4","(50.43754999080559, 30.621279976620002)",2165,1
8000,2,52,Дарницький,"вул. Тростянецька, 97","(50.42343000435429, 30.664739976946606)",2190,2
8000,2,55,Шевченківський,"вул. Щербаківського, 63б","(50.47961000375432, 30.40242999345176)",1996,3
11999,2,45,Солом'янський,"вул. Польова, 73","(50.43648590050609, 30.446101462510313)",2031,2
6000,2,60,Деснянський,"вул. Шолом-Алейхема, 17а","(50.475820000504996, 30.635459977498016)",1456,1
11000,2,44,Дніпровський,"вул. Березняківська, 24","(50.427109995124454, 30.61444998281749)",2951,1
18000,3,100,Подільський,"просп. Правди, 19а","(50.50350002036592, 30.441039973143972)",3072,2
5000,1,36,Дарницький,"Харківське ш., 51б","(50.422460008609335, 30.653400016321513)",2276,2
8800,2,56,Оболонський,"вул. Автозаводська, 43","(50.51163997990622, 30.455779968973133)",2999,2
10000,2,46,Солом'янський,"просп. Відрадний, 36б","(50.418900004783126, 30.423160032566244)",4281,2
9500,1,38,Шевченківський,"вул. Златоустівська, 48/5","(50.45312000459671, 30.486880014877244)",1114,3
11000,1,58,Дарницький,"вул. Срібнокільська, 3б","(50.40135999228869, 30.63124002452531)",350,2
5800,2,42,Дніпровський,"вул. Старосільська, 52а","(50.47838337177826, 30.593322441519952)",2837,1
7500,1,33,Оболонський,"вул. Приозерна, 2а","(50.49277001083493, 30.520620025005485)",1799,2
9000,1,38,Солом'янський,"вул. Липківського, 37","(50.43040999231414, 30.475880024244958)",1547,2
7000,1,40,Деснянський,"вул. Закревського, 7","(50.49830001336443, 30.594800035746204)",4849,1
10000,3,99,Голосіївський,"просп. Науки, 80а/73","(50.403670000000034, 30.52634000000006)",633,3
5500,1,30,Святошинський,"вул. Зодчих, 56а","(50.42925002073369, 30.367500004529717)",2961,1
19999,2,41,Голосіївський,"бульв. Рильського, 1","(50.45424045014288, 30.51588250312421)",711,3
6000,1,38,Святошинський,"вул. Клавдіївська, 23/15","(50.47782998088647, 30.345289972771553)",1455,1
9300,2,60,Дарницький,"просп. Григоренка, 16","(50.41153000686856, 30.62500003288733)",1563,2
10999,1,36,Голосіївський,"вул. Успішна, 8","(50.387500707059964, 30.458997121832006)",1403,3
19000,2,66,Подільський,"вул. Тираспольська, 60","(50.482645836127695, 30.43115865769585)",658,2
9500,2,52,Солом'янський,"вул. Гонгадзе, 15","(50.44670998605281, 30.43975997271005)",971,2
15000,1,53,Голосіївський,"вул. Ломоносова, 54а","(50.38532997965129, 30.461830026685192)",1091,3
13000,1,44,Голосіївський,"вул. Володимирська, 71","(50.43823001461021, 30.510979998163407)",448,3
12000,2,65,Дарницький,"вул. Бориспільська, 6","(50.428830003565565, 30.664439988631955)",2791,2
13000,3,72,Дарницький,"вул. Княжий Затон, 2б","(50.403329990992006, 30.628229999275987)",651,2
6000,2,46,Подільський,"вул. Червонопільська, 10","(50.51222998207072, 30.438040006178454)",3984,2
13000,3,67,Дніпровський,"просп. Павла Тичини, 5","(50.42796000392548, 30.59875000761764)",2565,1
7000,1,31,Оболонський,"просп. Рокосовського, 3в","(50.522349998598145, 30.45602002668008)",3008,2
6300,1,36,Дніпровський,"вул. Пожарського, 8","(50.453740013974596, 30.623130030288877)",741,1
8000,1,37,Святошинський,"вул. Чистяківська, 26","(50.45082649562393, 30.399211475289988)",932,1
7500,1,35,Деснянський,"вул. Братиславська, 4","(50.463499985851115, 30.629170029717102)",406,1
8500,2,45,Печерський,"вул. Підвисоцького, 20","(50.41512999237287, 30.55427998795838)",788,3
4500,2,48,Деснянський,"вул. Шолом-Алейхема, 5","(50.47153999119604, 30.627719960467772)",1305,1
12000,2,70,Дарницький,"вул. Лариси Руденко, 13","(50.395760000867654, 30.64481996495502)",839,2
9000,1,45,Солом'янський,"вул. Братів Зерових, 14б","(50.42333000824942, 30.47169996913135)",2370,2
12500,3,90,Дарницький,"вул. Ревуцького, 23","(50.41276998371481, 30.647109984721567)",1356,2
11000,1,43,Дарницький,"вул. Драгоманова, 1г","(50.41768001877594, 30.636100019624507)",2127,2
13000,1,45,Святошинський,"бульв. Вернадського, 24","(50.46305000337915, 30.37390000669933)",1024,1
12000,1,30,Шевченківський,"вул. Хмельницького, 88-92","(50.44847001808159, 30.50017999974088)",602,3
28500,2,84,Печерський,"вул. Маккейна, 7","(50.41573001091169, 30.530719966874784)",468,3
16000,1,45,Солом'янський,"вул. Гарматна, 38б","(50.44271548504756, 30.431377841045617)",1656,2
9000,1,33,Печерський,"Бастіонний пров., 5","(50.418670005359985, 30.55519001118614)",798,3
9500,3,72,Подільський,"просп. Гонгадзе, 20г","(50.51164999628051, 30.417799973123607)",3979,2
12000,1,50,Голосіївський,"вул. Ломоносова, 50/2","(50.385830002085214, 30.4649200152908)",1011,3
9900,2,48,Оболонський,"вул. Малиновського, 7а","(50.5049000077438, 30.493319998725013)",586,2
8500,2,46,Шевченківський,"вул. Дегтярівська, 10","(50.462340014270666, 30.474760034342637)",453,3
11000,1,34,Голосіївський,"вул. Деміївська, 45б","(50.398649997263504, 30.507430010711516)",232,3
8500,2,45,Дніпровський,"вул. Ентузіастів, 25/1","(50.44010999167344, 30.60443997876925)",1342,1
10000,1,47,Подільський,"просп. Правди, 19а","(50.50350002036592, 30.441039973143972)",3072,2
32452,2,80,Солом'янський,"вул. Клінічна, 23-25","(50.41878999230394, 30.490320031759467)",2180,2
23000,3,105,Солом'янський,"вул. Дашавська, 25","(50.443949992975206, 30.44835997300612)",1221,2
3000,2,52,Подільський,"вул. Мостицька, 14","(50.50280998018701, 30.450259982817926)",3228,2
7000,2,51,Дарницький,"вул. Вербицького, 24","(50.407699980031566, 30.659099961937926)",680,2
20500,2,61,Печерський,"вул. Лаврська, 4","(50.437940000760335, 30.551810008730655)",617,3
7500,2,47,Дарницький,"Харківське ш., 21","(50.42684998848796, 30.639670039824978)",3009,2
10000,1,31,Дніпровський,"просп. Соборності, 17","(50.4370056237951, 30.60864564148239)",1780,1
