"Ціна, грн",Кімнати,Площа,Район,Адреса,Координати,Відстань,Рейтинг
12000,1,36,Дніпровський,"вул. Березняківська, 30а","(50.42656999101237, 30.61092002811418)",2914,1
5000,1,37,Деснянський,"вул. Закревського, 31","(50.501990020508885, 30.60955998050494)",4893,1
15000,2,61,Святошинський,"просп. Палладіна, 18/30","(50.46008000171747, 30.35752000769486)",709,1
16000,1,31,Печерський,"вул. Мечнікова, 7","(50.4374499947007, 30.53225997394523)",71,3
7000,3,68,Подільський,"просп. Правди, 64","(50.50424001668776, 30.431370022907572)",3057,2
10000,2,52,Солом'янський,"вул. Ушинського, 26","(50.430240007317735, 30.445620012677097)",2725,2
35000,3,122,Дніпровський,"вул. Окіпної, 8","(50.44900998028416, 30.590730035021323)",533,1
7000,2,50,Оболонський,"вул. Автозаводська, 27","(50.50720000197515, 30.457489961039983)",2916,2
8000,2,51,Подільський,"вул. Світлицького, 28","(50.512489988707244, 30.431219986840716)",3975,2
7000,1,32,Дніпровський,"вул. Празька, 25/2","(50.43956001309658, 30.642660032325722)",2427,1
10000,1,36,Солом'янський,"вул. Гонгадзе, 41","(50.45000961197567, 30.420103035263796)",949,2
8500,2,47,Голосіївський,"просп. Голосіївський, 122","(50.38395842797154, 30.483821966317148)",521,3
9000,1,37,Дарницький,"вул. Софії Русової, 1","(50.38986999559677, 30.62561995844618)",958,2
5990,1,25,Дніпровський,"вул. Березняківська, 34б","(50.424130018998, 30.59973001973691)",2959,1
15000,2,64,Дарницький,"вул. Драгоманова, 6/1","(50.41598000117389, 30.634439983700616)",1931,2
